configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8745024,1.35,0.18, 0:00.35,429,599,2535.8,3503.85,0.35
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,3491716,5.91,0.28, 0:01.26,491,599,525.06,1399.02,1.26
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4309334,5.48,0.27, 0:01.09,528,599,614.93,1726.61,1.09
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4317496,5.8,0.19, 0:01.06,560,599,625.63,1729.88,1.06
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3398272,9.6,0.22, 0:01.57,625,599,410.83,1361.58,1.57
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3447469,6.39,0.21, 0:01.06,620,599,631.57,1381.29,1.06
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5155946,6.02,0.21, 0:01.19,520,599,552.89,2065.82,1.19
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5058381,5.95,0.21, 0:01.13,544,599,588.78,2026.73,1.13
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3353670,4.57,0.19, 0:00.94,506,599,723.87,1343.71,0.94
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3267800,5.4,0.21, 0:01.05,533,599,642.71,1309.3,1.05
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,5200073,5.41,0.19, 0:01.01,550,599,656.28,2083.5,1.01
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4620208,1.69,0.19, 0:00.32,583,599,2756.57,1851.17,0.32
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3507180,6.28,0.2, 0:01.03,627,599,639.74,1405.21,1.03
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,3598566,5.92,0.23, 0:01.08,569,599,614.29,1441.83,1.08
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3560642,6.46,0.23, 0:01.15,581,599,577.09,1426.63,1.15
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3414466,5.02,0.24, 0:00.98,533,599,689.93,1368.07,0.98
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,5504749,7.69,0.23, 0:01.29,612,599,511.26,2205.58,1.29
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,3526610,6.68,0.25, 0:01.22,564,599,539.74,1413.0,1.22
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3552308,6.3,0.24, 0:01.17,556,599,565.34,1423.3,1.17
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3930138,6.89,0.24, 0:01.24,572,599,532.24,1574.68,1.24
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3170894,5.6,0.28, 0:01.08,545,599,624.36,1270.48,1.08
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3076587,6.16,0.23, 0:01.17,544,599,566.77,1232.69,1.17
