configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5444414,1.21,0.15, 0:00.32,427,600,2857.02,2177.77,0.32
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,3544611,5.12,0.18, 0:01.03,513,600,642.46,1417.84,1.03
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4140086,4.68,0.22, 0:00.85,574,600,810.99,1656.03,0.85
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4150653,5.07,0.2, 0:00.91,580,600,755.56,1660.26,0.91
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3878923,9.14,0.26, 0:01.54,608,600,415.87,1551.57,1.54
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3900573,6.79,0.13, 0:01.16,593,600,561.8,1560.23,1.16
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3730119,3.92,0.14, 0:00.76,532,600,904.54,1492.05,0.76
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3668993,4.26,0.16, 0:00.82,536,600,829.14,1467.6,0.82
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3379911,3.87,0.18, 0:00.78,515,600,870.13,1351.96,0.78
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3574842,5.07,0.22, 0:00.98,536,600,686.76,1429.94,0.98
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,4732163,5.2,0.22, 0:00.99,543,600,674.92,1892.87,0.99
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4154936,1.61,0.21, 0:00.34,537,600,2627.03,1661.97,0.34
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3822484,6.68,0.17, 0:01.12,607,600,589.06,1528.99,1.12
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,3590211,5.55,0.21, 0:01.05,547,600,639.99,1436.08,1.05
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3579109,6.33,0.21, 0:01.14,571,600,583.56,1431.64,1.14
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3378028,4.9,0.21, 0:00.96,529,600,706.84,1351.21,0.96
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,4362205,6.77,0.18, 0:01.19,581,600,555.69,1744.88,1.19
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,3502307,6.66,0.18, 0:01.21,563,600,546.19,1400.92,1.21
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3580553,5.49,0.25, 0:01.04,551,600,650.89,1432.22,1.04
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3951731,5.77,0.17, 0:01.04,568,600,638.67,1580.69,1.04
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3470485,5.15,0.22, 0:00.98,547,600,696.23,1388.19,0.98
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3445025,5.17,0.22, 0:00.94,571,600,723.83,1378.01,0.94
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4154936,1.73,0.19, 0:00.36,529,600,2453.43,1661.97,0.36
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,4650661,5.47,0.18, 0:00.97,581,600,691.27,1860.26,0.97
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,3476059,4.96,0.15, 0:00.93,548,600,722.81,1390.42,0.93
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3551193,6.49,0.23, 0:01.20,559,600,553.74,1420.48,1.2
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,4530435,5.93,0.26, 0:01.10,560,600,606.66,1812.17,1.1
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,4548122,5.09,0.18, 0:00.89,592,600,779.1,1819.25,0.89
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,4645735,5.16,0.16, 0:00.88,603,600,783.18,1858.29,0.88
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3460885,4.92,0.23, 0:00.86,593,600,795.19,1384.35,0.86
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3465248,4.4,0.25, 0:00.77,599,600,901.64,1386.1,0.77
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3812259,5.99,0.26, 0:01.03,605,600,660.05,1524.9,1.03
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3694106,4.22,0.22, 0:00.71,627,600,1012.57,1477.64,0.71
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5439328,1.18,0.16, 0:00.31,427,600,2925.74,2175.73,0.31
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3890082,4.99,0.19, 0:00.77,668,600,909.12,1556.03,0.77
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3887748,6.07,0.25, 0:00.97,649,600,698.07,1555.1,0.97
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3887322,5.2,0.18, 0:00.81,657,600,856.01,1554.93,0.81
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,3580553,5.51,0.17, 0:01.00,569,600,671.0,1432.22,1.0
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3422416,6.77,0.15, 0:01.30,531,600,502.63,1368.97,1.3
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,4307620,5.96,0.25, 0:01.18,525,600,561.43,1723.05,1.18
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3421572,4.88,0.18, 0:00.91,553,600,746.46,1368.63,0.91
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,3676713,45.05,0.26, 0:09.14,495,600,66.53,1470.69,9.14
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,4529948,55.94,0.25, 0:10.34,543,600,58.59,1811.98,10.34
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,4084295,26.56,0.28, 0:05.59,480,600,109.42,1633.72,5.59
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5444414,1.25,0.11, 0:00.31,435,600,2776.7,2177.77,0.31
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,4389319,13.12,0.24, 0:02.34,570,600,269.13,1755.73,2.34
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3221137,28.83,0.27, 0:07.17,405,600,84.94,1288.45,7.17
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,4123220,26.25,0.33, 0:06.00,443,600,102.02,1649.29,6.0
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3469187,39.4,0.23, 0:09.57,414,600,63.46,1387.67,9.57
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,3880679,16.43,0.25, 0:03.51,475,600,176.62,1552.27,3.51
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,3485234,11.57,0.26, 0:02.32,508,600,271.24,1394.09,2.32
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,4805088,6.26,0.27, 0:01.21,540,600,549.68,1922.04,1.21
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,4686987,19.12,0.26, 0:04.10,472,600,150.5,1874.79,4.1
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,4721637,19.08,0.24, 0:04.05,476,600,152.36,1888.65,4.05
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3839807,6.63,0.21, 0:01.12,607,600,592.68,1535.92,1.12
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,5444414,1.17,0.14, 0:00.31,426,600,2942.43,2177.77,0.31
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4250922,18.54,0.24, 0:03.79,495,600,163.46,1700.37,3.79
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3814054,11.44,0.23, 0:02.13,547,600,297.35,1525.62,2.13
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,3813125,11.82,0.22, 0:02.26,531,600,278.65,1525.25,2.26
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,3810888,11.74,0.3, 0:02.16,556,600,293.85,1524.36,2.16
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3665691,5.85,0.16, 0:00.99,605,600,673.4,1466.28,0.99
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,4210480,12.45,0.28, 0:02.43,522,600,258.5,1684.19,2.43
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,3334887,25.1,0.29, 0:05.08,499,600,120.99,1333.95,5.08
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3539769,15.8,0.22, 0:03.11,514,600,199.44,1415.91,3.11
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3524552,19.37,0.3, 0:03.68,533,600,167.62,1409.82,3.68
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3497783,14.58,0.28, 0:02.91,509,600,214.27,1399.11,2.91
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,5444414,1.25,0.1, 0:00.32,425,600,2869.25,2177.77,0.32
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,3394809,6.24,0.22, 0:01.47,439,600,444.27,1357.92,1.47
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,3787429,15.55,0.23, 0:02.94,536,600,212.16,1514.97,2.94
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,3795995,15.94,0.22, 0:03.65,441,600,169.41,1518.4,3.65
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,5158695,11.41,0.22, 0:02.37,491,600,266.12,2063.48,2.37
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,4339819,8.55,0.26, 0:01.44,609,600,452.53,1735.93,1.44
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,4104383,9.91,0.24, 0:01.87,542,600,342.54,1641.75,1.87
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,3724962,6.23,0.28, 0:01.17,553,600,564.2,1489.98,1.17
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,3364447,9.64,0.19, 0:01.66,591,600,388.25,1345.78,1.66
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3349552,10.94,0.26, 0:01.90,589,600,334.95,1339.82,1.9
