,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,weightp,scenecut,rc_lookahead,mbtree,aq-mode
video_0,-0.18,-0.0,0.06,-0.07,-0.07,-0.03,-0.03,-0.06,-0.09,-0.01,-0.41,-0.15,-0.05,0.16,0.05,-0.02,-0.18,-0.13,-0.15,-0.01,-0.05,0.0
video_1,-0.25,-0.15,-0.04,-0.04,-0.17,-0.28,0.0,-0.04,0.04,-0.19,-0.07,-0.16,-0.09,0.07,0.04,-0.01,-0.14,-0.06,0.03,-0.01,0.13,-0.43
video_2,-0.19,0.0,-0.05,-0.03,-0.07,-0.3,-0.05,-0.03,0.03,-0.11,-0.06,-0.0,-0.07,-0.09,0.06,-0.02,-0.34,0.04,-0.04,0.05,-0.02,-0.27
video_3,-0.15,0.07,-0.09,-0.04,-0.06,-0.32,-0.01,-0.05,0.11,-0.17,-0.07,-0.01,-0.06,-0.17,0.12,-0.01,-0.33,0.03,-0.01,0.05,0.27,-0.43
video_4,-0.14,0.02,-0.05,-0.0,-0.1,-0.26,-0.01,-0.04,0.06,-0.2,-0.1,-0.06,-0.1,-0.0,0.13,-0.04,-0.33,0.01,0.01,0.03,0.11,-0.5
video_5,-0.12,-0.06,-0.02,-0.01,-0.08,-0.16,-0.03,-0.02,-0.0,-0.07,-0.04,-0.02,-0.02,0.03,0.14,-0.04,-0.15,-0.03,-0.09,0.04,-0.63,-0.15
video_6,-0.21,0.05,-0.09,-0.03,-0.12,-0.31,-0.04,-0.04,0.13,-0.1,-0.11,0.02,-0.14,-0.11,0.3,-0.01,-0.36,0.02,0.02,0.04,-0.3,0.0
video_7,-0.39,-0.01,-0.04,0.0,-0.06,-0.19,0.04,-0.03,0.07,-0.11,-0.04,-0.09,-0.07,-0.09,0.07,-0.02,-0.08,0.02,0.02,0.01,0.34,-0.67
video_8,-0.09,0.05,-0.07,-0.03,-0.05,-0.27,-0.03,-0.04,0.1,-0.16,-0.07,-0.04,-0.11,-0.01,0.09,-0.03,-0.27,0.0,0.02,0.02,0.47,-0.66
video_9,-0.16,-0.01,-0.03,-0.0,-0.03,-0.15,0.01,-0.01,0.07,-0.11,-0.0,-0.01,-0.04,0.0,-0.08,-0.04,-0.01,-0.01,0.02,-0.0,0.91,-0.69
video_10,-0.18,-0.15,-0.03,-0.03,-0.01,-0.2,-0.07,-0.01,-0.05,-0.13,-0.05,-0.03,-0.04,-0.1,0.16,-0.03,-0.33,-0.01,-0.03,0.02,-0.13,-0.26
video_11,-0.12,0.03,-0.13,-0.09,-0.05,-0.4,-0.04,-0.05,0.06,-0.26,-0.09,-0.01,-0.09,-0.12,0.19,0.02,-0.41,0.08,-0.02,0.09,0.02,-0.13
