configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,29657456,144.81, 0.94, 0:06.24, 2333, 500 , 80.60 , 23725.96
1001,False,False,True,True,True,True,True,True,20,1,22922055,88.06, 0.71, 0:03.72, 2380, 500 , 135.63 , 18337.64
1002,True,False,False,False,True,False,True,True,60,5,29720823,99.03, 1.03, 0:04.43, 2255, 500 , 113.64 , 23776.66
1003,False,False,False,True,True,True,False,False,20,9,20230013,151.89, 1.12, 0:06.88, 2222, 500 , 73.05 , 16184.01
1004,False,False,True,False,False,True,True,False,20,9,22781705,118.58, 0.98, 0:04.53, 2634, 500 , 111.22 , 18225.36
1005,True,False,False,True,False,True,False,False,20,1,19792497,109.46, 0.64, 0:04.11, 2673, 500 , 122.39 , 15834.00
1006,False,False,False,False,False,True,True,False,60,5,20428333,126.68, 0.92, 0:05.38, 2371, 500 , 93.58 , 16342.67
1007,True,False,False,True,False,True,False,False,20,5,19551575,105.42, 0.87, 0:04.50, 2361, 500 , 112.02 , 15641.26
1008,True,False,False,False,True,False,False,False,20,1,29085269,114.00, 0.80, 0:04.72, 2432, 500 , 106.83 , 23268.22
1009,False,False,True,True,False,False,True,True,40,9,34466950,147.88, 0.97, 0:06.41, 2320, 500 , 78.52 , 27573.56
1010,False,False,False,False,False,True,True,False,60,1,20257515,100.21, 0.72, 0:04.13, 2438, 500 , 121.87 , 16206.01
101,False,False,True,False,False,True,True,True,40,9,22786705,119.10, 0.89, 0:04.85, 2470, 500 , 103.88 , 18229.36
1011,False,False,False,True,True,True,False,False,20,1,20523188,99.60, 0.66, 0:04.17, 2401, 500 , 120.87 , 16418.55
1012,False,False,True,False,False,True,True,False,20,1,22582666,102.13, 0.63, 0:04.22, 2432, 500 , 119.42 , 18066.13
1013,True,False,False,False,True,False,False,False,20,5,28790772,127.25, 0.96, 0:05.97, 2147, 500 , 84.28 , 23032.62
1014,True,False,False,True,False,True,False,False,20,9,19412408,156.16, 1.04, 0:07.21, 2180, 500 , 69.71 , 15529.93
1015,True,False,False,True,False,True,True,True,40,1,19792497,86.01, 0.77, 0:03.59, 2417, 500 , 140.58 , 15834.00
1016,True,False,True,False,True,True,False,True,40,1,21718777,89.68, 0.84, 0:03.86, 2344, 500 , 130.73 , 17375.02
1017,True,False,True,False,False,False,True,True,20,9,32521890,122.43, 1.05, 0:04.91, 2515, 500 , 102.76 , 26017.51
1018,True,False,False,True,False,True,True,True,40,5,19903077,107.89, 1.01, 0:04.58, 2376, 500 , 110.01 , 15922.46
1019,True,False,True,False,False,False,True,True,20,5,32567778,107.81, 0.99, 0:04.79, 2267, 500 , 105.20 , 26054.22
1020,True,False,True,False,False,True,False,False,20,1,21713904,98.97, 0.76, 0:04.08, 2439, 500 , 123.49 , 17371.12
102,False,False,False,True,False,False,False,False,60,9,30513625,186.03, 1.03, 0:08.89, 2103, 500 , 56.48 , 24410.90
1021,True,False,False,False,True,False,False,False,40,1,29436718,94.67, 0.96, 0:04.42, 2159, 500 , 113.81 , 23549.37
1022,False,False,False,False,True,True,True,False,40,1,20251972,112.59, 0.74, 0:04.41, 2567, 500 , 114.23 , 16201.58
1023,True,False,False,True,False,True,True,True,40,9,19893991,149.93, 0.95, 0:06.12, 2463, 500 , 82.16 , 15915.19
1024,True,False,True,False,True,True,False,True,40,9,21410909,137.01, 0.99, 0:06.17, 2233, 500 , 81.54 , 17128.73
1025,False,False,False,False,True,True,True,False,40,5,20414041,113.07, 1.08, 0:05.00, 2280, 500 , 100.68 , 16331.23
1026,False,False,True,True,True,True,True,True,20,9,23121402,123.71, 1.01, 0:05.30, 2350, 500 , 95.01 , 18497.12
1027,True,False,True,False,True,True,False,True,40,5,21581776,110.94, 0.91, 0:05.08, 2199, 500 , 99.18 , 17265.42
1028,False,False,False,False,True,True,True,False,40,9,20407076,151.84, 1.06, 0:06.51, 2347, 500 , 77.18 , 16325.66
1029,False,False,True,False,True,False,True,True,60,5,34257318,126.99, 0.90, 0:06.13, 2083, 500 , 82.01 , 27405.85
1030,True,False,False,False,False,False,False,False,60,1,29482949,111.57, 0.91, 0:04.98, 2257, 500 , 101.18 , 23586.36
103,True,False,False,True,False,True,False,True,20,5,19551233,125.81, 0.86, 0:05.69, 2223, 500 , 88.36 , 15640.99
1031,False,False,True,True,False,True,False,True,60,5,22809985,115.44, 0.89, 0:05.09, 2285, 500 , 99.08 , 18247.99
1032,False,False,True,False,True,False,True,True,60,1,33853294,118.33, 1.13, 0:05.53, 2157, 500 , 91.10 , 27082.64
1033,True,False,False,False,False,False,False,False,60,5,29179552,122.51, 1.08, 0:05.86, 2108, 500 , 85.92 , 23343.64
1034,True,False,True,False,False,False,True,True,20,1,32191545,92.88, 1.07, 0:04.18, 2244, 500 , 120.70 , 25753.24
1035,True,False,False,False,False,False,False,False,60,9,28947632,156.43, 1.07, 0:07.63, 2064, 500 , 65.93 , 23158.11
1036,True,False,False,True,True,False,False,True,40,5,29497644,135.84, 1.04, 0:06.39, 2142, 500 , 78.73 , 23598.12
1037,False,False,True,True,False,False,False,True,40,1,34149989,111.34, 0.90, 0:05.09, 2203, 500 , 99.08 , 27319.99
1038,True,False,False,True,True,False,False,True,40,1,29836762,90.47, 0.85, 0:04.07, 2242, 500 , 124.07 , 23869.41
1039,False,False,True,True,False,False,False,True,60,9,33852511,160.37, 1.16, 0:07.74, 2085, 500 , 64.95 , 27082.01
1040,True,False,False,False,False,False,True,True,60,1,29482949,101.20, 0.98, 0:04.83, 2111, 500 , 104.23 , 23586.36
104,True,False,True,False,False,False,True,True,60,9,32946083,122.00, 1.15, 0:05.24, 2347, 500 , 96.16 , 26356.87
1041,True,False,False,True,True,False,False,True,20,9,28931528,153.34, 0.93, 0:07.12, 2165, 500 , 70.57 , 23145.22
1042,False,False,True,False,True,True,True,True,60,9,22761112,123.95, 0.94, 0:05.14, 2427, 500 , 98.00 , 18208.89
1043,True,False,True,False,False,False,False,True,60,9,32254743,167.99, 1.18, 0:08.08, 2092, 500 , 62.20 , 25803.79
1044,True,False,False,False,False,False,True,True,60,5,29717513,118.22, 1.05, 0:05.53, 2154, 500 , 91.03 , 23774.01
1045,False,False,True,False,True,False,True,True,20,9,33787510,145.12, 1.20, 0:06.26, 2335, 500 , 80.39 , 27030.01
1046,True,False,False,False,False,False,True,True,60,9,29710648,143.90, 0.97, 0:06.52, 2221, 500 , 77.16 , 23768.52
1047,True,False,True,False,False,False,False,False,20,1,32191545,90.06, 0.86, 0:03.79, 2395, 500 , 133.32 , 25753.24
1048,False,False,True,False,True,False,True,True,20,5,33805786,105.13, 0.92, 0:04.40, 2406, 500 , 114.48 , 27044.63
1049,False,False,False,True,True,True,False,False,40,9,20230013,177.10, 0.95, 0:08.37, 2126, 500 , 60.02 , 16184.01
1050,False,False,False,False,True,True,True,False,20,9,20407076,152.11, 1.00, 0:06.29, 2432, 500 , 79.97 , 16325.66
105,True,False,False,True,False,True,False,True,20,9,19417846,160.96, 1.03, 0:07.38, 2192, 500 , 68.01 , 15534.28
1051,False,False,True,True,True,True,True,True,40,5,23135810,115.18, 0.93, 0:05.18, 2239, 500 , 97.20 , 18508.65
1052,True,False,False,True,False,True,False,False,40,1,19792497,103.15, 0.73, 0:04.08, 2540, 500 , 123.45 , 15834.00
1053,False,False,True,True,True,True,True,True,40,1,22922055,95.42, 0.75, 0:04.18, 2295, 500 , 120.57 , 18337.64
1054,False,False,False,True,False,False,False,False,40,9,30455634,158.50, 1.05, 0:07.42, 2148, 500 , 67.69 , 24364.51
1055,False,False,False,True,True,True,False,False,40,1,20523188,100.73, 0.73, 0:04.23, 2398, 500 , 119.26 , 16418.55
